Optimizador: SGD
Schedule: Exponential
Número de épocas: 50
Fecha y horario de guardado: 2025-05-18_22-18-15
El mínimo valor de la función pérdida (0.04984614625573158) se obtuvo  con batch size = 12, step size = 0.014764723840366744, optimAux = () y schAux = (438262.62895387464,).

Rangos de los hiperparámetros:
límite inferior,límite superior
2,200
-3.9999998,-0.99999994
3.9999998,5.69897

Resultados:
batch size,step size,schAux0,loss
133,0.0004329201509786649,190707.065224997,0.1789715
139,0.03571327042868235,371747.01340087864,0.07657437
98,0.0032516794753272493,51656.990242503576,0.08545125
196,0.0405100515892465,115273.15997761772,0.065911114
67,0.016300510064312407,25636.864046242095,0.07286277
93,0.001121165541246381,78979.15691589908,0.11926243
28,0.058654408703224296,294904.50164435594,inf
171,0.011826133335837099,122121.79019544771,0.07820444
112,0.013724283452297675,15405.12473514772,0.08114941
96,0.00012016857135440794,245288.78854809905,0.22740206
142,0.07964284932899332,102556.34741519045,inf
52,0.004336872328340177,136073.620852366,0.07377446
21,0.026359777394365,67503.06056801327,0.05989295
17,0.0236528233780674,147774.52645069212,0.05744753
173,0.00011303685191289507,35166.43282819855,0.4449154
164,0.042455078713403156,76809.26818477309,0.0637105
37,0.031911460819135325,15261.20380433897,0.07179431
132,0.00013546376793317067,12328.977473854666,0.684844
77,0.0015806460952448279,23077.921706484027,0.15617721
55,0.024684293660170612,126832.74133984376,0.056341022
80,0.0003474563139266784,209829.7730291292,0.16763218
87,0.016798030210968286,170371.2815382801,0.0783155
177,0.007564583502041207,32060.72654981683,0.08339389
33,0.008222955643236027,281803.10759729496,0.06528684
143,0.0016443838277606358,138974.22066348215,0.10185249
37,0.0028478812530798136,344343.1909584307,0.070955686
186,0.002509852574847321,27851.402891471458,0.124854855
107,0.015194494212936832,64198.60909370982,0.07039846
19,0.0014305063536855889,28387.069471411658,0.14898834
71,0.001159780501282228,181777.61100519612,0.091720544
171,0.02154626995008821,261389.78558754796,0.07818611
168,0.0012533483079513897,406521.6367792482,0.11941789
57,0.0017646486766963183,461520.7571938901,0.081892565
101,0.007780171653126573,204777.70496636027,0.074425735
25,0.00010841505111604949,17053.75158241156,0.6486571
136,0.0036692259930773195,10027.716154938234,0.15529877
30,0.002993851016321969,46450.478706193324,0.08533297
61,0.0008540153999800178,11607.743136265455,0.22374134
190,0.002643426562791609,385472.2328807794,0.08961556
125,0.0015938124206965217,24879.3825958602,0.1541564
185,0.05205884083974217,107433.69364221813,0.06571141
134,0.00013697711278825209,22487.158224363728,0.46447876
109,0.001968547661467008,17561.48940852837,0.15965572
65,0.00014710054231945448,85257.62986361216,0.22314022
121,0.05138535791873527,88797.70921484982,0.053595733
86,0.00010301299447191567,187314.5401713299,0.23462465
72,0.0070073378980463116,462927.6047819332,0.07003463
23,0.011014523246278956,16383.537836313646,0.0825306
103,0.010527282682742395,423762.793349015,0.077199265
95,0.0004565883230310223,104732.10331713768,0.17099892
31,0.0001590190526553248,110771.46460804883,0.19920395
122,0.000521653560135164,488982.2798910008,0.15780689
176,0.0023281632046065087,84114.44882492945,0.09839788
35,0.0008080642160665933,20893.430287729396,0.1974874
148,0.0002971118773789067,57451.80587361043,0.21791472
64,0.0005371624615601628,253782.3768274985,0.12474515
147,0.0006770245662159953,73368.1991018987,0.17158258
189,0.005456135457132843,27262.105844991125,0.08768626
156,0.09303014460930337,329468.1716249761,inf
150,0.0006403514887327458,29243.91828894746,0.19923724
76,0.0005009318440759164,230569.32839638632,0.14047249
51,0.000115031847448319,80414.45378509368,0.23455869
117,0.004263022316193771,356681.0590201801,0.07966578
154,0.00028417016144381127,227588.3392668848,0.20468259
165,0.08641554575323186,25195.232735162408,inf
63,0.02298837398263674,235872.76723786522,0.070747055
47,0.0007436943580493049,13220.158324930371,0.2241648
26,0.00037725472139520436,32566.048460569808,0.21278647
38,0.029680967037023456,311847.1992471047,0.059858
189,0.00017170317934542823,128257.68351716659,0.24780937
160,0.0009041794309410095,174594.74442876762,0.14492138
157,0.0001300873335609999,49777.12423032545,0.31537846
108,0.09396780773563236,477531.1886078673,inf
138,0.0003614106372568253,10786.043498290674,0.3525151
69,0.009411427458532483,496383.7210347868,0.072167255
104,0.00022002751620056452,93920.02981906052,0.21243559
165,0.0975657836373831,10498.310881600326,inf
124,0.00041726880406477954,13625.470720002497,0.26651362
158,0.0013501185555857644,82060.67988405135,0.12785575
10,0.00024564265925341007,12606.307086301576,0.43974215
155,0.06111181778312651,18944.8974256371,inf
100,0.03509640575107293,41480.00638171065,0.062374514
92,0.004029063873375452,38864.48343198969,0.0849011
13,0.0031456180571282945,132801.28166554676,0.07289313
5,0.007286898484777802,160631.5871827697,0.06483668
126,0.00019929741945273988,31548.643284785783,0.2674062
179,0.02568258779211978,31027.806590210614,0.07004711
21,0.0005550769254905214,12085.756143448414,0.24860495
140,0.03905044843339974,90448.97618100303,0.06944541
22,0.07278484236198572,75571.07495789038,inf
199,0.0007304403984403827,58250.16912488386,0.18258356
101,0.027850499836622584,52011.09062448395,0.064911015
45,0.01293171224985976,153737.31320905228,0.068427265
169,0.003335883450736996,240781.54285835527,0.084401205
106,0.00024088348518319365,334195.4097483647,0.19468391
115,0.0739009445330011,55339.86394347167,inf
79,0.08870277480402736,26232.467135051866,inf
152,0.01950791262884107,16094.89595617661,0.07736669
180,0.005618502545549203,20186.306430006975,0.09184153
149,0.03382293016062613,398798.1235019161,0.072723925
34,0.055690738124549964,390871.4100894057,0.059235133
40,0.006595892334207696,33187.35229584852,0.080834925
84,0.005056102249841367,71144.37441496395,0.07887534
163,0.01009477979717848,11279.03799403661,0.08930276
170,0.006987716355518284,43264.53070785837,0.08432118
182,0.0004057630203529624,45844.795113316424,0.21302241
58,0.002065772556030742,65811.75330018274,0.08744154
72,0.0022948195932178455,117097.88082091004,0.082982525
74,0.0007909397634717257,150405.99201333127,0.115580946
119,0.044584435741406345,33688.35348604313,0.061795674
188,0.07680448632412204,17745.612913904824,inf
128,0.040871297861835604,39642.85449023693,0.061086334
181,0.0009295397201202814,320665.487274903,0.14602987
136,0.0017264528412748712,41915.34265746067,0.12507445
93,0.0022170151585486843,100401.12081156154,0.08574396
68,0.019032213818894726,178845.11049828315,0.074336246
88,0.0024804635402026925,315092.7172876715,0.082232624
182,0.0001754782465253625,141689.39041896997,0.24245027
42,0.06636641521389822,435825.2728547572,inf
125,0.0005778972842890898,14521.663407512635,0.23356661
50,0.0045448471067359225,143919.49877742803,0.07201521
85,0.055345072652510416,95420.86364793056,0.06699214
8,0.0006139089387985909,101005.11680069064,0.11947829
10,0.017581028785617278,43925.24269163398,0.06696262
44,0.011535344677133423,62118.53695767249,0.06742429
54,0.00010689612967505311,23435.383721668128,0.5297619
61,0.00020177111522006166,271293.6212255618,0.18261564
64,0.0058371547891607435,44554.808676337416,0.07971164
144,0.00047732976469974523,119416.15257439802,0.18208383
4,0.0018845807524101687,21551.104259015257,0.14961131
118,0.0006675177395073735,23816.965746314225,0.20232914
167,0.0702129220587763,304953.56838097936,inf
60,0.00016386843571392426,73954.19772184976,0.22073723
16,0.001479354340216687,68913.04023512662,0.092446454
118,0.001422792382935471,266802.3606514658,0.09642266
151,0.0008390579635789409,70276.94821751465,0.16105068
11,0.0011691414261803645,10992.744891415636,0.21063371
39,0.000276593981824439,29638.6825879889,0.23455253
48,0.0003152801726714351,220401.4979228533,0.15060018
145,0.08352743550097277,36721.47165346003,inf
193,0.0018670959568618077,249129.84710739192,0.10452965
56,0.00026011865477206024,21054.977231290206,0.27118418
18,0.04722993860655211,26803.4525227404,0.060860712
5,0.0003449194752738348,13055.497139370358,0.30943826
102,0.0035277971997802076,111537.40723888233,0.081612185
159,0.0003336608416943225,98554.81254777002,0.20555337
194,0.019866892331307964,20369.88755502765,0.07521008
