Optimizador: ADAM
Schedule: Exponential
Número de épocas: 50
Fecha y horario de guardado: 2025-05-20_11-36-41
El mínimo valor de la función pérdida (0.013154839165508747) se obtuvo  con batch size = 195, step size = 0.03534757366121973, optimAux = (0.8999348009433792, 0.9265590741726595) y schAux = (49947.45605161048,).

Rangos de los hiperparámetros:
límite inferior,límite superior
2,200
-3.9999998,-0.99999994
0.85,0.99
0.9,0.9999
3.9999998,5.69897

Resultados:
batch size,step size,optimAux0,optimAux1,schAux0,loss
102,0.010016868749273874,0.8881861560827833,0.9454224733238484,297470.6587359522,0.021576915
11,0.005150131885257552,0.939821626800885,0.9997879332329368,35731.77141599638,0.035404958
178,0.00034349640010866814,0.9319504814507757,0.9465105022894295,47530.875726929065,0.05272237
89,0.0006089683311094878,0.9748634582112776,0.9092750388498507,16539.50909018608,0.058606543
68,0.07138815986383738,0.9205111848231978,0.9661159949180552,18816.285419209515,0.02913832
28,0.0013962078496671782,0.9848658912843009,0.9314898897190296,115188.63279994877,0.028274644
167,0.0003031244146133148,0.9661883269609026,0.977391826073278,187850.20005493055,0.04873773
199,0.06347105432087788,0.8839861713079024,0.9609512630392913,129208.21790991876,0.025183277
159,0.00013012698066539784,0.8861064973547185,0.9352065655545644,478995.07534185646,0.061839987
170,0.0006408998593352107,0.8603857929756464,0.9723756483885191,391221.4497544039,0.044830773
178,0.02256883792158054,0.9882460148704862,0.9992989798492631,250139.15167208656,0.01951948
18,0.006925791413482557,0.9772492193861734,0.989823445641004,312134.3383297904,0.017889645
90,0.05525434766699228,0.901453805210705,0.951250023305225,97909.94905637519,0.02821023
191,0.0004953012771885101,0.9755952416110866,0.9482225946473738,131949.56572766104,0.047408935
82,0.09713018752166074,0.8728173296248204,0.9120650033997251,17119.96738696982,0.025142021
16,0.017318306413853526,0.9313913821192747,0.934065934396463,38797.01318684463,0.02970783
94,0.00021160060204275183,0.8796647002256209,0.9368815725912213,34273.79529990416,0.06418895
98,0.0047895391113967475,0.960605822203274,0.97566296622272,219362.95698646436,0.019552348
149,0.014670901268742568,0.8550035246916758,0.9685072059241564,146829.58443631552,0.0377598
173,0.01560361031169313,0.9131000090162573,0.9630631391102336,18338.049442316747,0.023988117
83,0.008484938525539509,0.877113660731873,0.91810588193824,422662.997158884,0.020785002
169,0.025349961552726594,0.8656444076347424,0.9671466183009207,85408.87354329243,0.020457797
124,0.008632519892119815,0.8900191118325473,0.9027158929594553,37960.11840049697,0.021006072
76,0.029380098003284325,0.908928043285691,0.9560311114370981,55260.80224599783,0.018267825
172,0.002261218708376252,0.9680936086666739,0.9000467559606455,39841.79931370314,0.029241692
191,0.007192105690215064,0.9099527695817179,0.9242965601409615,34714.36650123142,0.021334568
120,0.050882633289302946,0.8583131444899882,0.909691057894711,438595.98367886874,0.054659463
72,0.0008671979502094898,0.8721676003646972,0.9320734510772904,91996.0590685704,0.03346201
7,0.00013972225254447576,0.944603410377272,0.978309288022605,10592.063721059207,0.16458377
106,0.0467950466012043,0.9104133366277517,0.9664564092320296,99656.07785346465,0.017937765
31,0.0378118913457269,0.8844594230287015,0.996933551859629,208022.35643493923,0.036953017
183,0.00570023845601588,0.8810668659556756,0.9426984602268792,75289.21353821637,0.022669856
5,0.023283562677060107,0.9180620867701454,0.95913024325853,65691.1945803,0.04051827
16,0.0026611970321228913,0.8628348065785003,0.9148520432426653,268367.65981393197,0.021493286
60,0.008220511440425793,0.8866266540994591,0.9804602029408449,41924.01943766557,0.021017108
122,0.006391013368745236,0.9741089779623072,0.985820621651194,260754.00491273944,0.027460193
64,0.081296308101788,0.9079995936491796,0.9624670858679811,40485.25019511114,0.031673916
80,0.00766998257419781,0.9482231126352956,0.9615863921762545,364330.6498024367,0.022054428
174,0.00032075639447274885,0.9064394426241461,0.946305310750416,13911.179939999254,0.06712074
166,0.0008319941125585244,0.9492308993081484,0.9151068781889143,59617.888254719204,0.040040623
180,0.00010710138104991446,0.9271933179354098,0.9599519148908541,12018.88960725399,0.090320416
107,0.00743264087841395,0.9684899552074286,0.9581966769273906,17465.673544909943,0.023680855
25,0.030105502882085643,0.9343148598870296,0.9144010872666849,285663.6739529641,0.02981215
8,0.03889158498579889,0.9308910981477575,0.9255634035811109,23578.332564729302,0.04546336
151,0.0006504059379277978,0.9471778131991454,0.9302612860736479,10296.949657246618,0.062144037
