Optimizador: SGD
Schedule: Exponential
Número de épocas: 50
Fecha y horario de guardado: 2025-05-18_21-12-43
El mínimo valor de la función pérdida (0.046261198818683624) se obtuvo  con batch size = 9, step size = 0.027154942223047013, optimAux = () y schAux = (309313.42736187205,).

Rangos de los hiperparámetros:
límite inferior,límite superior
2,200
-3.9999998,-0.99999994
3.9999998,5.69897

Resultados:
batch size,step size,schAux0,loss
145,0.07895283907829471,30782.386630381177,inf
159,0.008189868354577995,43021.99395716129,0.080259964
189,0.012647056485226122,278298.11593741685,0.07959196
94,0.0022367077049462035,146067.73906351335,0.08492097
176,0.004513885078987843,15635.304310620073,0.11337781
125,0.00013699005550611324,21777.405856696907,0.47157806
104,0.0004119251089534145,26072.281108993928,0.22149125
79,0.00199971950577557,298239.1400061947,0.08637923
187,0.0032027034694759905,17715.030417258324,0.13057286
73,0.0005321343405512404,111245.82796990409,0.15075529
96,0.001572433728390489,131307.30919979513,0.091693856
86,0.01146282826350654,38305.1005247553,0.07333194
9,0.03709812543000602,17574.580998568807,0.06559176
40,0.0010747856386558138,428862.724570832,0.08265858
41,0.004775135606175803,167753.7518993037,0.06951235
72,0.08227217892887621,224766.74006689768,inf
138,0.025657255957331516,403738.3378261487,0.06908961
27,0.03245759132365513,14498.774494245621,0.072133474
78,0.009788550555300465,27472.678298577423,0.07905158
124,0.04824953085166811,291302.85030471534,0.062517785
60,0.00016551609932546023,10409.422410199446,0.6732545
49,0.0005807544223508708,213086.82442569983,0.11050022
46,0.010718924871959773,29218.08199623798,0.07711081
46,0.015796827150226993,247637.99659072005,0.059242845
157,0.0035933144429539476,58327.97424636032,0.08661189
180,0.00033165887685164736,80151.33824474446,0.21298456
148,0.001414142639193309,185817.1054454207,0.109239414
43,0.0004934705142380973,13671.614091979542,0.24817704
139,0.028699626045091377,50018.56065302702,0.0669662
14,0.01780624157497547,21145.81552890046,0.07514054
5,0.0022937653506649234,176784.84848460366,0.07338243
39,0.09761003425191168,15159.616436814022,inf
47,0.004996276702296193,412760.1556562503,0.07492676
62,0.009505404047964966,44971.346371576285,0.07316101
23,0.012148878141231886,91079.38745265703,0.06494417
141,0.003352922616097684,10267.732458730894,0.1594999
195,0.05543357317609363,11998.305005599746,0.06584052
63,0.0007849017760392655,103799.27781942098,0.12100191
105,0.0006002556624847487,64417.234740383334,0.17084725
171,0.0030255991672010103,11060.16032617477,0.1616081
161,0.0004657786389476844,108318.54153057325,0.18877794
112,0.0008472053014874319,135811.1251136469,0.13317864
89,0.00019861465933266272,124872.05083585127,0.2075545
143,0.002725494823530049,16131.177552456305,0.14489713
66,0.00042023937376533117,312889.34732127306,0.14030701
158,0.010202036885034283,497577.57574758196,0.07690532
61,0.015344962172508,209929.0521221978,0.068680026
66,0.01849287240290884,41122.230541500474,0.0670354
126,0.0360647504913947,118966.97684719329,0.06734976
84,0.0011810979582952028,11516.201764115203,0.20783609
22,0.00181719053961144,61264.97230348295,0.08975433
181,0.00019210239032742634,128516.48256194619,0.23726195
53,0.055628040325308103,217629.95554875262,0.056596372
64,0.04304885812954376,13078.443440875695,0.06507129
22,0.0020635536953164646,134325.5734033221,0.07916497
35,0.01650693700491615,82990.8321079831,0.063787416
2,0.0004882694076899046,40204.48793472893,0.19064215
18,0.014866386423664642,437491.26760455425,0.053271532
12,0.019523292907976785,26450.987850766698,0.07103088
154,0.021679929975478747,145128.99108149175,0.07212457
122,0.0060144665733884665,72164.43207604504,0.07943067
94,0.03486187961711752,35686.94625552138,0.06295974
83,0.002089928041118556,31175.668459530523,0.11825344
183,0.0001721141156318849,383171.5210362055,0.23724453
129,0.000510996818986887,22733.828177272488,0.21799506
75,0.02924019907132475,200215.41170466927,0.07318515
172,0.029937463590454773,28609.181110258247,0.06786531
198,0.09059327916177295,14537.3014087662,inf
141,0.00013418578695407527,33241.76191115939,0.36107934
146,0.04561960044029,20603.210905413154,0.062782176
147,0.00012129781101153843,402705.8374905187,0.24698475
15,0.0009597823791231913,17086.752827673146,0.1989618
127,0.0001500944350529437,394836.41804476804,0.22531374
196,0.0003193243272207987,287734.60181311896,0.2085219
9,0.027154942223047013,309313.42736187205,0.0462612
155,0.0869621424820384,29330.599936979837,inf
166,0.02043821280704796,166988.5867239604,0.07073506
55,0.05247507218250014,109626.4304281571,0.049882375
29,0.001216108393295008,277311.6972560205,0.080944866
198,0.026737197580946996,371699.8730791808,0.067365296
17,0.004127505568375783,301339.5122093075,0.066678874
109,0.006199988500498642,343172.6254322725,0.08566996
36,0.0009418725334394933,93424.09167911504,0.10208224
16,0.005444012407305279,155386.94082431935,0.066421814
31,0.014348415258108087,199083.80501265518,0.05716736
58,0.00020051300413724898,10823.855981224768,0.5883081
87,0.007106547312769858,34693.99548008758,0.08034702
33,0.0003066945156574658,47198.964920771694,0.20497036
150,0.000760920771148148,271841.5202809548,0.14895533
74,0.023255870886819026,81697.42743347332,0.060208227
91,0.04136143242845593,255820.12012737335,0.075656354
135,0.0013006971915262863,92385.66811420716,0.12030285
132,0.00011190268645585181,84374.63431126032,0.279513
163,0.002515478646915894,44180.13532461004,0.10420172
131,0.0010451706765041372,18720.528010959417,0.19158101
116,0.001612908974811438,12650.60017902239,0.18830799
174,0.0011329460847314963,352084.49062677834,0.12937237
110,0.00017973591079823687,473632.5252812429,0.20870683
79,0.00013098079626872123,36432.76821314187,0.30705327
48,0.010497430744249777,59477.41687066214,0.06836061
82,0.08866244806003845,87183.32796668855,inf
177,0.004251917929888821,237115.75432122368,0.0879407
14,0.0024694066598869584,45909.32757485143,0.089251205
68,0.006478382279355012,14195.590779935912,0.096374646
7,0.007918455947985011,231549.04507168473,0.0569596
181,0.0708794415967157,151524.80624117248,inf
77,0.0012664127974321262,37301.11904194081,0.14168957
105,0.00023866046536549077,16911.728876236873,0.34210274
10,0.00885429271189439,56849.098999173126,0.070586726
110,0.013367252291710569,74364.74570387922,0.06949919
123,0.00011084708025985882,102153.76309634662,0.26447883
51,0.008953521021571346,220422.85666614657,0.06841918
173,0.06885709318376493,20031.66744581774,inf
161,0.003086839939908588,62423.526247603586,0.089626215
100,0.00043396454980880575,120236.07285967913,0.17297676
84,0.005259170298169503,242824.14486580197,0.07352355
11,0.0039631130541012095,16570.412464611974,0.11595107
102,0.002368323547062796,18215.56483697688,0.14531398
121,0.0003629276427486426,22062.9161550736,0.23835398
56,0.02384120971156988,452849.63334673515,0.06635822
190,0.0008085757576947949,15069.351402049362,0.21538168
112,0.0037009750148993075,52846.54034740383,0.08451608
168,0.051464600564349386,22892.65974532742,0.062401462
184,0.0006416320714469805,26743.663177267168,0.20521155
38,0.0028740505328276452,181634.446568375,0.07542684
191,0.00028871648130200607,28100.406306348574,0.25028822
128,0.02242468268073755,48490.92279109996,0.066933446
29,0.0005562191359006249,179257.76764303612,0.10226946
3,0.05964776029270315,76156.51342563577,inf
131,0.013593264098463401,66027.57716924974,0.072809
156,0.0013663511053211253,32320.64606392118,0.15552326
70,0.09647589865837627,12400.355598788037,inf
142,0.0007312311958077893,11913.848728137973,0.23121655
166,0.0009906095903521644,25006.11094969904,0.18472496
192,0.05797622113553596,79042.11030398495,0.056887664
149,0.00758543933628848,154031.0531526005,0.07672577
52,0.06182477868048431,334195.64494451496,inf
20,0.0037615508387111086,324214.68227219535,0.06808539
193,0.06721368909892654,12543.402263198326,inf
93,0.024301657872333488,39188.55189968468,0.06623161
193,0.034088566075164396,458724.085804624,0.06569193
97,0.0006765046830179088,326022.9838479185,0.12906265
120,0.03132935304391646,262912.0336931204,0.06674999
184,0.0017555400364266207,421115.98135114304,0.10357055
89,0.001678913260674297,67423.88251448511,0.09870603
153,0.004420300635962339,19737.333833699817,0.101495884
120,0.039746215435282416,104919.71961366449,0.06876652
