Optimizador: SGD
Schedule: Power
Número de épocas: 50
Fecha y horario de guardado: 2025-05-19_11-44-24
El mínimo valor de la función pérdida (0.02740158699452877) se obtuvo  con batch size = 2, step size = 0.022210983093978762, optimAux = () y schAux = (2226615.3887367686, 0.8316994665838777).

Rangos de los hiperparámetros:
límite inferior,límite superior
2,50
-2.1549017,-1.1549019
5.477121,6.477121
0.6,1

Resultados:
batch size,step size,schAux0,schAux1,loss
10,0.012620884373762837,1126170.323164449,0.7867880031928385,0.045483787
46,0.024031712269028123,327413.10926144756,0.8665896848056076,0.05582532
2,0.018988639194272797,540445.9560306167,0.915614782720142,0.034970976
23,0.06975712476705365,1932266.5418337036,0.7922248315779947,inf
5,0.06398197037964361,2523926.91999952,0.8092526469658443,inf
34,0.018242455943565692,1663375.9832329901,0.881049240207864,0.069501214
29,0.02526278872994652,1496179.0943668927,0.6819421765818855,0.054776244
25,0.013355485470444845,786251.9159958662,0.6658295312631054,0.06358302
39,0.057175152347404064,2735188.4383657128,0.9122298304934175,0.04205855
10,0.06281041310668864,422878.01736114436,0.6290118566035134,inf
48,0.015891782490502528,2313821.513396852,0.6200339581995039,0.059182208
40,0.015459296585439743,1001570.6237018773,0.6056862883106161,0.060340084
27,0.01606938681653073,1590424.7485291783,0.9286215360973463,0.05865843
22,0.013903098512330283,1192430.3926936246,0.7115109434506447,0.054676354
20,0.008739025088460244,313354.5934282275,0.9191338298875491,0.062402084
50,0.0227819550837465,483843.46558339306,0.9705199821268223,0.057502665
19,0.007112346711757392,923953.633292713,0.8284086023443848,0.060645204
18,0.007476658342622894,908768.629578621,0.8644262777445846,0.05785671
47,0.017380728378056175,877837.505755835,0.8843768888274659,0.07540295
45,0.05021043431897219,396489.5022667752,0.7560603934150207,0.071424015
42,0.011352289049407752,589009.9252377799,0.6110290241601418,0.060738586
49,0.02003302463765141,1085564.1754465122,0.8145873621654618,0.07823658
40,0.008536175548052376,1210886.1198416527,0.8680491549555049,0.06738941
29,0.041243861346880996,2840513.980555334,0.8408101174539777,0.050291862
11,0.05558725943783422,2970195.0627134377,0.7612176320835669,0.047936257
42,0.05189191642924344,354291.12827440194,0.9739852862708603,0.052778464
25,0.014370814963074836,1823030.9639735548,0.7463161923279964,0.06330641
48,0.03309835620384918,2493234.537558521,0.9092277462013487,0.054741494
7,0.0191526012913397,2814652.167017303,0.7909420000167473,0.04248486
27,0.008687589105557234,338276.3131027263,0.6012004293411225,0.061195366
18,0.013790760405048962,491239.495824287,0.7888926022590154,0.05403203
23,0.045874980181777776,549001.881943198,0.8117186830600417,0.042585194
21,0.015116151262073814,2113426.4503475423,0.6635572249641939,0.059236124
24,0.014720199608178037,350028.86977416364,0.9771267476402942,0.056056697
13,0.05268599252661149,1089405.7147330758,0.7040425156664272,0.048795633
42,0.049178041983799305,2394949.4152350808,0.9447969455562374,0.04352384
40,0.023703246744517327,732352.5282829545,0.6061794214121842,0.058208495
25,0.009639189572100108,306642.3773016472,0.619488690760927,0.06393747
3,0.010378979031361016,943501.0946377605,0.6085602156700701,0.037773848
9,0.04119103729141052,840471.5072350221,0.7207881145359186,0.043441
14,0.04889879300668004,1870471.3102849105,0.6799225376918255,0.04703503
48,0.03331075984397625,1428976.1036474532,0.6846671722588855,0.058744643
21,0.007055978593241724,1357820.1612147249,0.7286316411741558,0.061817795
15,0.00763089377305603,638321.5791785684,0.8748042722477805,0.05920738
6,0.007370421164779199,477915.60428053414,0.6035455200592649,0.049680512
14,0.010497096437382253,345014.5647933218,0.7536645481908033,0.054669842
31,0.009363902181868333,515626.5786376785,0.9069752411696264,0.061545663
36,0.007890988601510811,359945.2521387396,0.9213208606486492,0.06512565
12,0.05602054795552642,617344.2146169512,0.8200444502664945,0.043133933
17,0.06785460601993802,2169613.509052735,0.7732596227504441,inf
2,0.022210983093978762,2226615.3887367686,0.8316994665838777,0.027401587
33,0.01418191214427826,595028.6167680294,0.697443798790072,0.056513038
6,0.03159732572199893,2444184.624814775,0.8519600092928586,0.05108375
37,0.009254046029040954,453490.8162905516,0.8496475434602524,0.062362026
17,0.0233056575575462,505499.5941001539,0.6523750330125403,0.045184165
8,0.053643612336095096,323466.41731597524,0.8796576670698621,0.030679353
12,0.03827235620150497,1264114.0290464915,0.7814779324618321,0.052669976
43,0.01622285073394703,1330797.4986835043,0.6831226747225968,0.05891247
30,0.014902526887934128,951751.5574501408,0.9865975536039434,0.058344726
10,0.01873356087692691,2022751.7545888738,0.771540608442714,0.040731624
39,0.028687483152533635,799073.1097101299,0.8255870234671049,0.05370627
35,0.009097855126709084,497127.92003166926,0.7486498330508277,0.0713018
32,0.011109401783096507,502292.3510431422,0.6324767913120505,0.057681587
