Optimizador: ADAM
Schedule: Performance
Número de épocas: 50
Fecha y horario de guardado: 2025-06-02_16-20-23
El mínimo valor de la función pérdida (0.018708186224102974) se obtuvo  con batch size = 60, step size = 0.003, optimAux = (0.6915126877697662, 0.9974153332187573) y schAux = (1.05, 0.25).

Rangos de los hiperparámetros:
límite inferior,límite superior
-0.22184871,-0.0222764
0.9,0.9999

Resultados:
batch size,step size,optimAux0,optimAux1,schAux0,schAux1,loss
60,0.003,0.9004377792980368,0.9297885125646381,1.05,0.25,0.026066557
60,0.003,0.6808237912573879,0.9787851036061553,1.05,0.25,0.02169236
60,0.003,0.6520485479414883,0.9181370798091673,1.05,0.25,0.02490407
60,0.003,0.9220490794973161,0.9590917453858893,1.05,0.25,0.028660776
60,0.003,0.6007153964254807,0.9066552467358115,1.05,0.25,0.023938399
60,0.003,0.6154684546963249,0.9017380855618228,1.05,0.25,0.02354749
60,0.003,0.7640990703976445,0.9925822375555735,1.05,0.25,0.022959547
60,0.003,0.6915126877697662,0.9974153332187573,1.05,0.25,0.018708186
60,0.003,0.6756659672480873,0.9060467126917949,1.05,0.25,0.029305099
60,0.003,0.7354488232153223,0.9446260236672934,1.05,0.25,0.026823465
60,0.003,0.937593484324583,0.9412739603351201,1.05,0.25,0.025070384
60,0.003,0.8096930377504379,0.9532945469484961,1.05,0.25,0.027086385
60,0.003,0.6596552086466323,0.9323073930371564,1.05,0.25,0.024953432
60,0.003,0.7495239052691328,0.9716615183369293,1.05,0.25,0.025753742
60,0.003,0.7623920210704541,0.9239855405587675,1.05,0.25,0.028559262
60,0.003,0.6265979535999144,0.9864050576872956,1.05,0.25,0.025872841
60,0.003,0.9280799163124833,0.9080809747742222,1.05,0.25,0.027623786
60,0.003,0.689754869518972,0.945628239698298,1.05,0.25,0.02662133
60,0.003,0.9071769169607433,0.9595091426162234,1.05,0.25,0.028231315
60,0.003,0.7616872661082188,0.9891241953700806,1.05,0.25,0.023411829
60,0.003,0.8033826148903997,0.9837455712831167,1.05,0.25,0.023709154
60,0.003,0.8656692312506282,0.9476099607782473,1.05,0.25,0.024116198
60,0.003,0.608052667469921,0.9172451041788143,1.05,0.25,0.024048863
60,0.003,0.8774778799569789,0.9273381084925257,1.05,0.25,0.025321988
60,0.003,0.6967386308626178,0.9487759669371879,1.05,0.25,0.025793837
60,0.003,0.8752770553705979,0.972396780745218,1.05,0.25,0.026817096
60,0.003,0.7074987329791654,0.9876140432054711,1.05,0.25,0.024307346
60,0.003,0.6865698829258494,0.9268218228047043,1.05,0.25,0.025752157
60,0.003,0.8121328367854276,0.9535111977567481,1.05,0.25,0.027288469
60,0.003,0.6065945865081892,0.9965712453885484,1.05,0.25,0.026343608
60,0.003,0.8965431474830173,0.9521661992660371,1.05,0.25,0.024590412
60,0.003,0.8729866113944187,0.9191476517112542,1.05,0.25,0.024608659
60,0.003,0.7821859179171038,0.9105723059353944,1.05,0.25,0.028906694
60,0.003,0.7772861438062538,0.9797276573967393,1.05,0.25,0.020141676
60,0.003,0.8855750357586948,0.9330717877097626,1.05,0.25,0.02724136
60,0.003,0.6086095975895505,0.9084977357367744,1.05,0.25,0.027006507
60,0.003,0.8591651598982134,0.9914279796127051,1.05,0.25,0.023376271
60,0.003,0.9397868437496559,0.9257059689357268,1.05,0.25,0.026110094
60,0.003,0.8175454944170051,0.9818581330960049,1.05,0.25,0.029972335
60,0.003,0.6731875032423386,0.922567660663834,1.05,0.25,0.025872162
60,0.003,0.636799468398583,0.9037855077980433,1.05,0.25,0.025003083
60,0.003,0.7936028611769159,0.9548542569085856,1.05,0.25,0.027296823
60,0.003,0.9243800907517771,0.936289754943846,1.05,0.25,0.029484611
60,0.003,0.7332980213695208,0.9196745887423796,1.05,0.25,0.026180418
60,0.003,0.8545814409335963,0.9144255126245918,1.05,0.25,0.026437832
60,0.003,0.6336229206333821,0.9511430257463414,1.05,0.25,0.022750046
60,0.003,0.7427075930682429,0.9098385350647433,1.05,0.25,0.024907634
60,0.003,0.9344399570473372,0.9728278164127425,1.05,0.25,0.027968101
60,0.003,0.7877349114812171,0.9203937926261929,1.05,0.25,0.021568226
60,0.003,0.8354543294563732,0.9480540544669145,1.05,0.25,0.027421538
60,0.003,0.798264012035262,0.9149867319307158,1.05,0.25,0.02338399
60,0.003,0.6206999403012508,0.9070385047996945,1.05,0.25,0.026518188
60,0.003,0.6381403465695195,0.9051059007623107,1.05,0.25,0.026799291
60,0.003,0.7184169855727212,0.979365715072466,1.05,0.25,0.024723427
60,0.003,0.6457068941493485,0.9920653550051995,1.05,0.25,0.023119029
60,0.003,0.7721275277674292,0.9885025460268321,1.05,0.25,0.02435906
60,0.003,0.6807793357301893,0.9428003486407952,1.05,0.25,0.022778118
60,0.003,0.6346521508158586,0.989550214989852,1.05,0.25,0.022613484
60,0.003,0.7856793389241034,0.9504175879946255,1.05,0.25,0.02814688
60,0.003,0.6214733538865227,0.9057051883899927,1.05,0.25,0.02687027
60,0.003,0.7570471547702802,0.9014379434226538,1.05,0.25,0.021560906
60,0.003,0.8510840204176053,0.960914685398028,1.05,0.25,0.025516395
60,0.003,0.8338695326223869,0.9932065313901985,1.05,0.25,0.025812417
60,0.003,0.8235482521275604,0.9658980391785646,1.05,0.25,0.028996043
60,0.003,0.6695007592108305,0.9251846266990634,1.05,0.25,0.025069557
60,0.003,0.8552806714285036,0.9177728642902083,1.05,0.25,0.027846424
60,0.003,0.6459887492521996,0.907846551885974,1.05,0.25,0.02067247
60,0.003,0.9210957173112772,0.9528641433133237,1.05,0.25,0.029071653
60,0.003,0.6950613166309261,0.9430035272535656,1.05,0.25,0.025725003
60,0.003,0.931310396375301,0.9880992689550393,1.05,0.25,0.02744498
60,0.003,0.9135755388204346,0.9908808008444572,1.05,0.25,0.019939693
60,0.003,0.6174836943933671,0.994475693466296,1.05,0.25,0.023251623
60,0.003,0.6128210294314287,0.922210745404901,1.05,0.25,0.023456065
60,0.003,0.6515260367451847,0.9910834332229207,1.05,0.25,0.025083452
60,0.003,0.7659062479947475,0.9103946701668404,1.05,0.25,0.026002951
60,0.003,0.7896435222796616,0.9950321367712628,1.05,0.25,0.025941497
60,0.003,0.7154753395547567,0.9960937349514831,1.05,0.25,0.02155445
60,0.003,0.7500769927899876,0.9421681871536406,1.05,0.25,0.024274375
60,0.003,0.6194114695489294,0.9866222332444328,1.05,0.25,0.023165321
60,0.003,0.8931413379031775,0.9131782751508337,1.05,0.25,0.027353423
60,0.003,0.7538146028552313,0.976024092232199,1.05,0.25,0.023788346
60,0.003,0.6476901958267836,0.9645369686882496,1.05,0.25,0.02096244
60,0.003,0.6640275503262474,0.9758686718478495,1.05,0.25,0.021197831
60,0.003,0.9100807951332827,0.9620298613937229,1.05,0.25,0.028515818
60,0.003,0.7807764487796304,0.984450252334919,1.05,0.25,0.023646904
60,0.003,0.6728482923169787,0.9746868571839613,1.05,0.25,0.024830999
60,0.003,0.8412241781365978,0.9671908221320449,1.05,0.25,0.029251307
60,0.003,0.6035107823561829,0.9554777065159542,1.05,0.25,0.022053903
60,0.003,0.9300562850357168,0.9599486136282724,1.05,0.25,0.028845435
60,0.003,0.7847382925326619,0.9765093014716486,1.05,0.25,0.026186002
60,0.003,0.8155595268619039,0.9562491201530638,1.05,0.25,0.029828077
60,0.003,0.8616453258930457,0.9943774339628791,1.05,0.25,0.026113253
60,0.003,0.8824370052650938,0.9004198305549892,1.05,0.25,0.027250055
60,0.003,0.6312474062505686,0.9802884156664605,1.05,0.25,0.025613591
60,0.003,0.6422268790938805,0.9355819553113591,1.05,0.25,0.023463573
60,0.003,0.612299616564365,0.9285902207160005,1.05,0.25,0.02340748
60,0.003,0.6779695912925884,0.9731124003425469,1.05,0.25,0.023601431
60,0.003,0.7469799403933712,0.9542619561163393,1.05,0.25,0.026407694
60,0.003,0.9171157830272249,0.944265842322563,1.05,0.25,0.029867742
60,0.003,0.8263501238306484,0.9138482477136578,1.05,0.25,0.026808895
60,0.003,0.769870406302453,0.9024363344381023,1.05,0.25,0.027956005
60,0.003,0.6500788361332347,0.984193546909958,1.05,0.25,0.023695331
60,0.003,0.6561444991047208,0.9552279582097407,1.05,0.25,0.0255902
60,0.003,0.7912245868820271,0.9006172239368588,1.05,0.25,0.030003179
60,0.003,0.7312082133621609,0.9472947653314969,1.05,0.25,0.028076096
60,0.003,0.8832920240007672,0.9390786077214991,1.05,0.25,0.028107474
60,0.003,0.6271816342736243,0.9157652853013619,1.05,0.25,0.022939337
60,0.003,0.720698303719094,0.9695996510435372,1.05,0.25,0.026371127
60,0.003,0.857009303279604,0.9231226984798507,1.05,0.25,0.028001482
60,0.003,0.6532915431370359,0.9184919437346599,1.05,0.25,0.026018318
60,0.003,0.7270863531862243,0.9111157113491928,1.05,0.25,0.022448076
60,0.003,0.7741897928679954,0.9436961653154992,1.05,0.25,0.028852478
60,0.003,0.8912615344603569,0.9684455722201749,1.05,0.25,0.028663332
60,0.003,0.7588467750008665,0.9239074854614229,1.05,0.25,0.027546087
60,0.003,0.8015173850880858,0.937801278209903,1.05,0.25,0.027540365
60,0.003,0.7239678533695638,0.9340278240058071,1.05,0.25,0.025075363
60,0.003,0.7442284552458532,0.9370352957102138,1.05,0.25,0.024887186
60,0.003,0.6776094345000111,0.9204987881093721,1.05,0.25,0.026681056
60,0.003,0.7163461675612518,0.9043644536219939,1.05,0.25,0.02405097
60,0.003,0.863468496766196,0.9613289813021346,1.05,0.25,0.024772942
60,0.003,0.8971694000370694,0.9386698813462381,1.05,0.25,0.02452195
60,0.003,0.602750127851173,0.9291102802547899,1.05,0.25,0.022332499
60,0.003,0.721602994901914,0.9045274342658547,1.05,0.25,0.026432777
