Optimizador: ADAM
Schedule: Power
Número de épocas: 50
Fecha y horario de guardado: 2025-05-19_21-59-15
El mínimo valor de la función pérdida (0.01260008942335844) se obtuvo  con batch size = 166, step size = 0.0496880225397014, optimAux = (0.9, 0.999) y schAux = (2307.8418395078506, 0.8254394896844289).

Rangos de los hiperparámetros:
límite inferior,límite superior
1,200
-3.0,-1.3010299
1.9999999,4.9999995
0.6,1

Resultados:
batch size,step size,optimAux0,optimAux1,schAux0,schAux1,loss
170,0.0020355028773450298,0.9,0.999,407.1700924189873,0.9727648724913722,0.06260887
49,0.009241679241663258,0.9,0.999,10572.484368131183,0.7647208573437594,0.020375196
64,0.0034913024517913157,0.9,0.999,2659.170219623819,0.9324309916232685,0.032783415
133,0.020500111027128266,0.9,0.999,869.9643563944866,0.6488898190330329,0.026629431
195,0.002795123991541549,0.9,0.999,28195.068800481506,0.7696307172168095,0.02869867
103,0.004841372095823511,0.9,0.999,489.60483990040615,0.7386457337050286,0.037969176
32,0.0026451554507594204,0.9,0.999,1560.817415347753,0.6019342403383938,0.03281186
179,0.0019268438474517708,0.9,0.999,21962.117942218774,0.7067463980595796,0.029868288
28,0.0029533873599523227,0.9,0.999,36506.940999926104,0.9904282440233307,0.028375935
128,0.002228441783545797,0.9,0.999,3610.947337352915,0.6634407166234584,0.032552328
93,0.04331668961413432,0.9,0.999,165.04750251081043,0.8108148005722218,0.020578057
188,0.0016917413911145878,0.9,0.999,30803.057530174156,0.8930382801473746,0.030638374
86,0.004547746636961255,0.9,0.999,11480.120764857935,0.9066071683454238,0.024001
10,0.019971949936900497,0.9,0.999,1705.1829277819645,0.9665343027255554,0.027732635
27,0.03145184971272599,0.9,0.999,627.3903121057783,0.6830415737039519,0.019704506
66,0.012158090316482973,0.9,0.999,12070.981958320232,0.8333917062370922,0.025408143
71,0.0035578140507053126,0.9,0.999,44310.3452424966,0.8468216440490798,0.029812343
21,0.0070730177933983176,0.9,0.999,2441.7407295562375,0.951089635155214,0.029664582
171,0.035982890460202005,0.9,0.999,19776.639429166564,0.608771853729319,0.022168277
79,0.010069438574186303,0.9,0.999,1036.7974802978085,0.6922875521695349,0.026924646
104,0.005485041310107382,0.9,0.999,678.8059888729252,0.9938531412043294,0.04201349
55,0.003346341640187039,0.9,0.999,74826.38204826089,0.7309400682619811,0.021892129
199,0.02792071853783093,0.9,0.999,77889.83473545407,0.7543872659923105,0.018936547
114,0.001755366266794478,0.9,0.999,429.8490634939129,0.8589868669264876,0.06036096
117,0.007289633781173781,0.9,0.999,5382.856720032106,0.7973871508854613,0.023468005
61,0.03288340552872243,0.9,0.999,839.6319043380404,0.8381478177550039,0.016246036
74,0.008437471237663443,0.9,0.999,37343.90127630607,0.6292633294249681,0.020696698
163,0.0011826062012293146,0.9,0.999,2183.0175290766824,0.8853821126059158,0.049060207
162,0.011226575252889524,0.9,0.999,70235.62919110282,0.7446320280078408,0.021849237
141,0.011426835636302392,0.9,0.999,6348.637003028127,0.956553829798815,0.02328831
46,0.0017268811497232232,0.9,0.999,70829.73514113593,0.9549427751313582,0.02015233
168,0.006996980757198968,0.9,0.999,119.38586477432989,0.8022510065303516,0.04843466
15,0.0051552108473021975,0.9,0.999,27124.320739514525,0.6248582635060599,0.019278152
87,0.008293055908434892,0.9,0.999,34576.19159080417,0.8829917073444222,0.02862243
131,0.004507968027099219,0.9,0.999,2809.962823542596,0.666662526500523,0.027771667
17,0.04245768816745563,0.9,0.999,15645.536551880268,0.9483143393381559,0.023347523
3,0.027351758599595846,0.9,0.999,14075.560664596715,0.8302149841026141,0.022597333
43,0.0013951937511738897,0.9,0.999,965.6413084447493,0.7006151013770913,0.047997836
39,0.003807190107395242,0.9,0.999,62426.008259013666,0.8570464080288764,0.022468241
144,0.00416303658111733,0.9,0.999,40052.24908701539,0.6951474846951451,0.020152496
35,0.012727639460464834,0.9,0.999,19537.448279208806,0.9384462400707079,0.020321712
158,0.003908590266986658,0.9,0.999,221.5970631522166,0.6806347314025546,0.04830142
167,0.010827295678213172,0.9,0.999,149.14675766911182,0.7139599206105125,0.037560187
44,0.0017932405915608383,0.9,0.999,205.95560237158998,0.7360104830399503,0.062395714
100,0.0021290229273109138,0.9,0.999,12946.084609366906,0.8222954612097797,0.028785842
20,0.002713043624088515,0.9,0.999,155.31617716886393,0.9870681855682674,0.07604044
12,0.003963234026139087,0.9,0.999,2328.370943597464,0.8741169866129939,0.03290566
42,0.009051062988736949,0.9,0.999,16356.412431201803,0.7034269990590515,0.020124685
24,0.0010139058815871287,0.9,0.999,1800.885552187732,0.8550446061115137,0.0578859
78,0.02335130013054441,0.9,0.999,335.98358067067693,0.8420571713472244,0.028914405
183,0.038999872130571066,0.9,0.999,17000.494099468,0.6970945097486143,0.017470596
60,0.0010878524539241618,0.9,0.999,13698.030079235048,0.9029584868727751,0.033851985
124,0.003202312445895983,0.9,0.999,296.35542906983943,0.7108286966947478,0.04892227
146,0.04625386944758761,0.9,0.999,371.413917578685,0.6114900229523497,0.016942082
97,0.008717850898490247,0.9,0.999,305.002832736323,0.7665119922578583,0.03335906
69,0.006107022116538783,0.9,0.999,1247.21355225619,0.9101253831435461,0.03309011
8,0.014963105595394058,0.9,0.999,56075.13507301549,0.8805372922288925,0.021729076
137,0.0018344848244498582,0.9,0.999,4143.320661161345,0.7920961837136768,0.035115834
183,0.0050372836805963805,0.9,0.999,25803.359804622938,0.7485553474985605,0.022808034
84,0.009402352550460508,0.9,0.999,33818.72871422921,0.6545946189362982,0.023209956
54,0.006521129704776257,0.9,0.999,1965.313429438425,0.7866693428851088,0.030100752
150,0.014794578420548609,0.9,0.999,18999.599768425014,0.6234351860419212,0.024600584
82,0.01817794523753149,0.9,0.999,183.93449977546805,0.996240275780703,0.043623682
192,0.0031415254657909484,0.9,0.999,1855.8042680531441,0.9944917482644221,0.04198911
155,0.0036105096589889615,0.9,0.999,1173.245200055878,0.7146979916352624,0.032643363
65,0.008899789849667657,0.9,0.999,5655.462662985264,0.652548768260945,0.021437766
28,0.03371189905287116,0.9,0.999,129.78957187266198,0.9772841469105776,0.03194526
131,0.003243886626086654,0.9,0.999,3311.6990474219306,0.8950485180271048,0.030659754
32,0.0021604192146961725,0.9,0.999,12440.297550578714,0.8969540158771092,0.029094253
107,0.004665021353181832,0.9,0.999,1471.4359353768625,0.6197371781913613,0.030259058
20,0.012485765652878705,0.9,0.999,79868.44566981716,0.7838123138887693,0.018461822
77,0.04069207554369957,0.9,0.999,82719.37283732365,0.9896758230406194,0.020051962
136,0.002062680624048255,0.9,0.999,555.731342023028,0.6751567699821014,0.049361885
1,0.01622206585404552,0.9,0.999,52301.253480337284,0.8499056695913245,0.023794523
130,0.0013553842851904562,0.9,0.999,17717.859755297897,0.7259353538823776,0.031544015
165,0.006772673252748124,0.9,0.999,701.3441730990887,0.7951074455484642,0.032098457
156,0.014082560496734897,0.9,0.999,8898.27009140584,0.8341057313482928,0.020389594
6,0.0012470244311163757,0.9,0.999,4788.094353218348,0.7917970746967915,0.04132945
125,0.008136537064193507,0.9,0.999,248.69411516879015,0.7737340005350704,0.038973115
178,0.009585462111736593,0.9,0.999,2081.4803616197523,0.9980736229126712,0.027831754
85,0.02312004964570691,0.9,0.999,144.10858854655,0.6792622534960002,0.029133912
92,0.03962819191827258,0.9,0.999,127.0740946919524,0.9125723664806622,0.026023407
6,0.0012880310073549186,0.9,0.999,738.2863424551649,0.6858755967150074,0.057601713
80,0.02417944695548606,0.9,0.999,95575.93901293783,0.8175262244322996,0.021680474
83,0.0049150876712600496,0.9,0.999,462.81133422715897,0.9409854258160042,0.045327283
147,0.02919207752469496,0.9,0.999,1689.9493662400685,0.7741650096738384,0.02280694
72,0.01355422661923417,0.9,0.999,422.5364578054216,0.9283196591751401,0.03578019
194,0.005900497355623359,0.9,0.999,269.3097871046647,0.7339837788730801,0.037615605
76,0.006572344718035649,0.9,0.999,6268.306329881347,0.9084972555411369,0.02649876
186,0.0030738448744205772,0.9,0.999,536.3971471784706,0.8612186342699515,0.050025128
91,0.005971134073612658,0.9,0.999,277.499524861953,0.8005910305583764,0.044444714
60,0.015630284253557634,0.9,0.999,9327.933828008601,0.9234608009767257,0.02055765
195,0.006856422688900164,0.9,0.999,388.4235113073837,0.8518969644152665,0.03754422
46,0.002017784642017448,0.9,0.999,106.52378342622848,0.7222735435649521,0.06570735
58,0.0025853153531529656,0.9,0.999,4261.569526619241,0.7431359553357916,0.026218519
23,0.01449676642244071,0.9,0.999,2136.338477991136,0.9645894231757549,0.026506314
166,0.0496880225397014,0.9,0.999,2307.8418395078506,0.8254394896844289,0.012600089
199,0.025553222379587702,0.9,0.999,1512.8053860661212,0.8269714412106761,0.020437581
18,0.0015477777719182769,0.9,0.999,617.5104609498717,0.9242450167801604,0.06266674
126,0.004354097664863941,0.9,0.999,1103.8975231212416,0.930434796240756,0.0381234
149,0.02653841514875735,0.9,0.999,3945.622790958384,0.7890466546404474,0.01674623
106,0.0015802954676911879,0.9,0.999,931.9812940075767,0.7347313422567535,0.05042815
94,0.001337105815536171,0.9,0.999,813.0746059578515,0.8362031923273805,0.055427577
51,0.0037360284551770546,0.9,0.999,140.82263545410981,0.7762906519995911,0.05911546
112,0.00402610643213793,0.9,0.999,1235.3676327042278,0.7803494387928156,0.033196367
127,0.03778684470775336,0.9,0.999,313.9387570826323,0.9710907136686235,0.024250016
102,0.0016213185554065637,0.9,0.999,232.56906072630352,0.6895732099091566,0.059768133
37,0.007860150143577327,0.9,0.999,116.61247073033765,0.7702952875593351,0.05605617
148,0.02095803571468464,0.9,0.999,2673.0856419590273,0.6456324595917329,0.02163285
101,0.046180308717303775,0.9,0.999,114.34834703337532,0.9831621534476213,0.027485887
191,0.015181217172956337,0.9,0.999,3410.9448845559614,0.8655532662606693,0.019964015
38,0.0011065274155070265,0.9,0.999,1010.9350270497222,0.7526022074497496,0.054726392
164,0.04365351670174987,0.9,0.999,58943.73528418152,0.9265511917013403,0.015761968
134,0.013004031038577767,0.9,0.999,9616.963687836123,0.7199429113342959,0.017976902
95,0.004277713421742913,0.9,0.999,1122.094018435297,0.6146416853255511,0.030220933
149,0.00237912632183974,0.9,0.999,51622.2964241437,0.6566684661032015,0.025332611
13,0.011694938750043278,0.9,0.999,1394.4043430007175,0.9588601483074153,0.030075215
114,0.0024311171555916355,0.9,0.999,7795.166791932841,0.7160477219272986,0.029074088
121,0.0014567037779831477,0.9,0.999,2904.510097033573,0.6868657149237133,0.04082947
158,0.03527306406918204,0.9,0.999,23769.445872167234,0.668662574254632,0.021382924
73,0.007654273241207167,0.9,0.999,569.9437773050769,0.8203998105769799,0.03646639
116,0.003017408988263508,0.9,0.999,1351.0771918914836,0.7565798367393856,0.0351911
52,0.005290291951141579,0.9,0.999,4764.204953208301,0.6355535525425949,0.026838059
105,0.0010478915234267269,0.9,0.999,3756.8149650679466,0.8738399736049568,0.04640294
111,0.009952408998874047,0.9,0.999,10962.862859620815,0.6612266617652508,0.020092655
129,0.0015218294369082619,0.9,0.999,747.1630929853596,0.7297517413495954,0.05057648
89,0.03223760854576901,0.9,0.999,650.1600836842235,0.6049547362673512,0.020681618
36,0.04453658162660744,0.9,0.999,193.23409442757327,0.6217396271066503,0.016377
123,0.03405497689078806,0.9,0.999,3031.4340226172503,0.6712428707890215,0.015980057
180,0.007983252928894326,0.9,0.999,15379.092902134465,0.7263706011327339,0.025720967
142,0.022747810951464307,0.9,0.999,11094.14462263739,0.6072501582164029,0.018551841
120,0.01231102546732113,0.9,0.999,790.7434470319905,0.9458883101337141,0.026835548
50,0.01881800293340876,0.9,0.999,3257.459717714895,0.6433990861330415,0.017500127
145,0.005456063850727403,0.9,0.999,4380.197725092008,0.6134958330933517,0.023511972
140,0.022065024375836444,0.9,0.999,177.34746897296586,0.6166630522736639,0.02666908
109,0.013342084783620853,0.9,0.999,32705.604860392425,0.6034643156922471,0.034810793
49,0.005782457156090944,0.9,0.999,91712.48947872368,0.8787622657078661,0.018900815
174,0.0026995941345601187,0.9,0.999,894.9550081905933,0.935265567155782,0.04953589
181,0.01964389939216297,0.9,0.999,6803.388780651511,0.7469146086184215,0.018039664
58,0.0037020352149627635,0.9,0.999,207.5394407312513,0.7857233660204943,0.058585513
133,0.010957385259021716,0.9,0.999,87161.60910193223,0.8281276033631398,0.021728897
98,0.019388558599690818,0.9,0.999,256.83595751013826,0.7780460382310836,0.026567841
67,0.029495457139183646,0.9,0.999,5088.219823189247,0.8984805311683983,0.020370461
17,0.0022445979942058904,0.9,0.999,514.0133148333875,0.6995452963026734,0.050976705
122,0.0011321920289849468,0.9,0.999,161.2237340921306,0.9157743462121485,0.08075161
63,0.006247073657681786,0.9,0.999,98196.52377644341,0.8128425371957222,0.02332777
56,0.04723812287570886,0.9,0.999,9976.97327366145,0.6263394967177789,0.018980483
118,0.0056491901439164795,0.9,0.999,5723.172164449455,0.8876835506036327,0.022540748
186,0.02430589303731551,0.9,0.999,5972.7662202724905,0.759657800398236,0.019654583
88,0.018029787733991675,0.9,0.999,134.3450265677767,0.8915432072186238,0.043836396
69,0.002495750783782288,0.9,0.999,3056.300265433331,0.9689169556440915,0.035743088
40,0.0010199346012984803,0.9,0.999,500.7317891739947,0.8699033650040353,0.06665953
113,0.0028709454547624766,0.9,0.999,24753.471647552615,0.7639431464914932,0.02709343
176,0.00973277022003476,0.9,0.999,7169.226009333549,0.8154990448138139,0.02629874
34,0.0011596855319248832,0.9,0.999,20936.27265596774,0.9461429990807806,0.030582786
10,0.0018775650549610328,0.9,0.999,371.74521625519577,0.6376979191510875,0.053988922
62,0.0025215002872375366,0.9,0.999,46088.604657102085,0.6582149461914114,0.027049
4,0.03869017443545536,0.9,0.999,173.7646120556745,0.8410555364565147,0.03027177
171,0.030300747202133445,0.9,0.999,60884.73281188836,0.8707651533461752,0.017771026
8,0.02164039090870746,0.9,0.999,5217.989423954336,0.7215777266995704,0.016204147
191,0.016992142252769384,0.9,0.999,240.11648907318124,0.7503587546005119,0.029246913
197,0.0013742276921242431,0.9,0.999,53838.44956524159,0.9850790921410424,0.034690596
138,0.031093045658121272,0.9,0.999,326.111422029906,0.8885888929381027,0.023608807
33,0.0019547477499479446,0.9,0.999,583.0408617036937,0.9428877626889819,0.06322449
107,0.0034145637623484546,0.9,0.999,8971.270883629715,0.7998887404670377,0.025517238
119,0.0010649321219674123,0.9,0.999,353.3095828390987,0.960405668877851,0.0717388
90,0.0489348871001482,0.9,0.999,1332.3979563236742,0.9181222051120993,0.015256114
168,0.0014221210475548302,0.9,0.999,2565.4418371261772,0.8627528991795552,0.046582635
153,0.0016513017120777546,0.9,0.999,47062.33453127458,0.665853610727351,0.029272776
161,0.007429450094504912,0.9,0.999,14782.1982353937,0.8054498871879402,0.023141583
179,0.016054963565510713,0.9,0.999,21318.90536263588,0.7042882727154336,0.019320449
99,0.002298416007901116,0.9,0.999,67430.80269191724,0.9757938247422329,0.02415464
2,0.02128167322333608,0.9,0.999,38618.69786722415,0.980866835855764,0.02511363
176,0.017338369601581173,0.9,0.999,86249.69406449853,0.8762675302973699,0.021965109
160,0.03508404715287912,0.9,0.999,6705.4352704900675,0.6510671858571954,0.016630314
197,0.0013006210977735233,0.9,0.999,281.86063287895666,0.8667769762640624,0.06684498
110,0.011902934984985862,0.9,0.999,103.39452709463298,0.8538257259191872,0.04620556
152,0.028768027934488908,0.9,0.999,450.8599188503121,0.6739631406921106,0.018194214
189,0.002336100349495334,0.9,0.999,18160.91287013879,0.905309038606194,0.02874176
76,0.004179333690611177,0.9,0.999,40959.09363695075,0.9376184212841068,0.021926926
47,0.005248708348806511,0.9,0.999,64722.79428726461,0.6406650923233754,0.023048606
157,0.02513096282458518,0.9,0.999,26712.618667086288,0.7616750502984353,0.01714861
14,0.04169070380163681,0.9,0.999,220.4480030822714,0.6316806699708719,0.018317953
14,0.025899495522527065,0.9,0.999,8285.660047139103,0.8442007887018813,0.016545856
42,0.010284756924162563,0.9,0.999,7406.386218412541,0.8094338472348344,0.022146398
53,0.0370342397460286,0.9,0.999,28954.01830491922,0.6327396399837794,0.021784965
190,0.016544305031090497,0.9,0.999,43250.549624410945,0.8191268769519766,0.020745588
185,0.0015046029885803199,0.9,0.999,31434.286411968093,0.9537282937865172,0.032655332
139,0.007537217606727919,0.9,0.999,109.02195796057349,0.709232218887791,0.046061292
70,0.0012075234659853842,0.9,0.999,1598.2689319281715,0.806762007914617,0.050488267
23,0.01851972212620769,0.9,0.999,1936.3133007771403,0.9200082567524814,0.022976438
31,0.026941997403871397,0.9,0.999,23292.00980460985,0.9636105827044379,0.016405731
25,0.0029304992208693593,0.9,0.999,4577.722229781525,0.6396056493553182,0.029441249
174,0.0018047014883307456,0.9,0.999,8597.607364041065,0.9170940063599023,0.03245416
142,0.004698702687567743,0.9,0.999,1062.6731158698487,0.6477751129024174,0.029955463
173,0.0062926369569192295,0.9,0.999,7570.963287781461,0.9003731038840965,0.02411415
29,0.010501380497069873,0.9,0.999,13357.870775130055,0.6768296408577571,0.021399928
154,0.017599007785315545,0.9,0.999,50101.87270624574,0.7419456291869562,0.019305237
81,0.013922814523861347,0.9,0.999,188.51775794524463,0.9793032017885466,0.046003856
96,0.001237507956082194,0.9,0.999,3862.3657550665916,0.6907871955041405,0.03755566
