Optimizador: SGD
Schedule: Exponential
Número de épocas: 50
Fecha y horario de guardado: 2025-05-18_19-48-47
El mínimo valor de la función pérdida (0.03669681027531624) se obtuvo  con batch size = 13, step size = 0.04975603347190395, optimAux = () y schAux = (313084.5602862899,).

Rangos de los hiperparámetros:
límite inferior,límite superior
2,200
-3.9999998,-0.99999994
10000,500000

Resultados:
batch size,step size,schAux0,loss
35,0.016237152824690602,191847.97066078018,0.05930535
123,0.000122664354010393,394393.46048901917,0.23525277
151,0.019955506209108763,444854.33008813026,0.07500751
111,0.0016555032958568776,296313.30885132746,0.0891826
81,0.06372769763978484,437396.5136788284,inf
46,0.00483303389317889,403661.68907096813,0.06960217
178,0.0038390840459051347,456249.39553298935,0.08352752
108,0.00041932732289145516,103501.92693710655,0.18027903
71,0.0029311052575197657,217719.65250010704,0.08063793
182,0.021962503865087083,187698.30821468998,0.091471
167,0.010107376439143015,465722.10617540585,0.07743051
23,0.002570703987212227,348567.4560990889,0.069252536
6,0.027963575049851027,477966.4532090648,0.03955379
53,0.00015826711972300285,389451.99049097183,0.18537131
191,0.001449621420311604,161422.64088526904,0.123257615
176,0.0004727378383557307,40597.63911555677,0.20757322
74,0.0017160432071794461,449915.42365423887,0.0827611
85,0.07781157287129671,428583.636401888,inf
106,0.011608124404633612,347089.3836602636,0.08190686
185,0.00030424718213477585,489806.7457840071,0.20657516
149,0.030579812437182243,16548.775275928016,0.07097724
25,0.00040524610329694034,88340.66262758014,0.15801863
67,0.018256336097077958,454708.16194561205,0.059581954
132,0.0001728683450687844,494994.02906240145,0.21881941
13,0.07507026979294835,96790.39962837522,inf
187,0.03481445523394996,180446.04817588758,0.06635078
143,0.00022300591365553062,88969.30673799235,0.22337723
92,0.08608906585198445,274462.71714038926,inf
121,0.005987109356167689,251460.4685866984,0.07638359
124,0.02329087698578173,29398.926107362924,0.0684193
96,0.0037331196266987225,342913.75644587213,0.07857063
108,0.0006623439689134284,331272.9751583672,0.13706276
174,0.08756267038309333,284981.5739581415,inf
2,0.000898288072395755,206508.05294035107,0.08229046
86,0.059710881031354406,147978.25767766256,0.05273563
171,0.0008488245244568383,18330.357851185152,0.20420732
198,0.05393689820079699,30146.014849467618,0.060276456
127,0.016699638855442817,221199.7073677553,0.07108
103,0.00019572141684747987,362615.40985839436,0.20300372
155,0.0008596286375947347,420917.8675108083,0.14027627
148,0.05204867753631471,199610.32831272497,0.069665544
56,0.09358995649265622,284025.5544495617,inf
63,0.002221032980790554,325880.6168815001,0.08149248
184,0.0689024741672956,122697.49966996784,inf
189,0.08146668563387399,76428.06359689131,inf
114,0.0017703424214465244,276437.16131926765,0.08874218
144,0.000354417938491195,477459.80517363973,0.1879346
28,0.00011433953659242589,194515.81530188202,0.19471414
181,0.0399086794876285,462374.33995173505,0.073471144
87,0.07925105876940099,426389.6178933965,inf
74,0.036384601151372986,297732.228183521,0.058927216
142,0.000916870765262845,433014.68632660666,0.12990247
129,0.0012628657522338388,79681.85658839913,0.123792075
98,0.00034005737315659346,377012.6869840906,0.1726618
117,0.015978891499100725,239155.30972367467,0.07113369
147,0.0010991056581875914,408168.52202981664,0.119856775
8,0.00278989088749861,405445.730309453,0.06528921
162,0.012845841729818827,368213.80749407207,0.07735726
32,0.0001920571494202557,271061.84938729374,0.16135423
42,0.010473035682464556,335458.491869091,0.06505408
30,0.013490050179913494,21787.173026660555,0.07795768
35,0.04157346390500113,300539.73611883615,0.069224685
176,0.00018181821062851483,154894.2461018665,0.23730254
16,0.00016757084599049085,57409.60333643858,0.22541595
66,0.0003653675116730467,281813.18692356517,0.15123644
20,0.008012302106934828,25069.509623812788,0.08159045
154,0.0007646803067688282,446319.53258201067,0.14746463
133,0.0005867441829560636,327404.11185498594,0.15749793
13,0.04975603347190395,313084.5602862899,0.03669681
40,0.0003782366731223179,260498.74624965835,0.12581079
50,0.000778970933947444,81687.48832053338,0.1259962
199,0.0004772321162727696,256005.11411520815,0.19030055
118,0.05947070458099252,182572.64370589048,0.09028504
160,0.00027181082025481425,234722.9840406124,0.20831269
156,0.005134164898165799,145050.5420149984,0.08081417
164,0.0021344816308301578,497822.56986449123,0.090633295
71,0.03853388696610879,414341.3044464191,0.06801542
68,0.002511943254092149,339398.7260099969,0.08244436
104,0.0015677090103505436,42099.54939861367,0.124820665
193,0.021320510723703986,93885.79741777365,0.06992936
183,0.0013506142606939532,128192.31521096553,0.12834893
79,0.0001152611971445028,258040.9380420921,0.22076122
157,0.0026725407518186774,435482.0209102828,0.08573111
125,0.04268020772598494,125373.09881659871,0.06548788
37,0.0068195013860725025,267425.434343096,0.06612704
153,0.005313061921844441,46476.12523300751,0.083182774
94,0.0006766045221209502,398679.16336707503,0.12539081
58,0.0011362299229415067,390859.558769281,0.08520073
137,0.001841658222896944,49171.819988638184,0.11485144
111,0.0014201673175379304,197873.52356002998,0.09597177
83,0.0001476823161424382,99851.25811492305,0.22491683
62,0.01439151564917032,75380.60366662624,0.0665175
55,0.00045028641450219173,209736.03190512976,0.13345833
165,0.00020672551970114244,68450.4177311317,0.2384164
170,0.05604929468386667,496458.67569140426,0.101359166
25,0.0002302089265598333,318072.68734901893,0.13541123
122,0.004063746748900661,143790.24617609166,0.08131139
87,0.008996670152103477,64889.14631074713,0.072917975
60,0.001970514840653523,319134.37003034144,0.08113704
58,0.0005571958782338425,355671.36479828914,0.11204563
138,0.09119367425285826,55168.40745407125,inf
105,0.007577527614580764,175480.76648713648,0.08304831
90,0.00455540611146753,140136.64944685355,0.078050904
109,0.00443439541877238,439710.32109405246,0.08513931
173,0.01497788678665281,60790.70811305184,0.07607492
57,0.02781297185231674,23366.43867322837,0.06802643
167,0.00879622109765002,421613.5177015086,0.07848136
163,0.0009782949128978246,329983.59009164886,0.13574362
76,0.018524796678993868,139814.3395139722,0.06661615
9,0.023907686264440304,490559.0052487305,0.042718176
49,0.013367395872926227,305872.9700694401,0.07385727
135,0.0011912959758918111,117621.98418252419,0.12164863
145,0.0002154946299338828,71755.08676250784,0.2297299
4,0.031363968505484396,85087.07668465622,0.060592134
36,0.0016375234949709526,245177.3659635481,0.07984501
186,0.0719253257769253,123768.45872660555,inf
5,0.000503148373855513,213626.71415565134,0.090747476
175,0.00931325251077658,132528.81280273464,0.09391991
137,0.00423091891209154,385165.58497484797,0.082566
78,0.004666733567800419,36219.13266471838,0.08351946
130,0.011011548118141428,485738.43649673916,0.07310872
30,0.010863410180879596,113766.64609559216,0.065041006
140,0.005783703137755806,235898.93638857472,0.08087501
126,0.00030028230634299364,316092.7181309716,0.19172499
139,0.00010043956489940372,310889.9154552069,0.2629714
101,0.0001230962836067348,227093.3880360658,0.22910032
194,0.0012076215002379711,152657.05746150628,0.13772328
38,0.009767863368290155,279047.7114766096,0.06908041
51,0.00023743926661388054,168538.07572001198,0.1760032
43,0.025005540880823764,201802.1595668649,0.053754684
88,0.00017432718807388736,245888.3168948051,0.20479593
115,0.00010396543700012115,131291.51727688074,0.25781435
97,0.006599152983802003,262742.61404217547,0.07307858
18,0.017551139564586326,469291.79304578475,0.051430475
15,0.00032226227871552687,32883.02871444136,0.22025058
120,0.0003876550882678814,379733.2606281359,0.17537604
45,0.003192571041092023,12962.500817753998,0.14769086
134,0.01246725590183472,162061.05034453652,0.06982027
92,0.04619324654237469,186208.8946604135,0.06270804
77,0.0007157024902704818,118215.75126047817,0.13075227
198,0.000201943361905801,205575.32167311796,0.23495734
161,0.0005400931095299286,158413.28125426322,0.17729053
166,0.007329294160493833,219215.5980886589,0.07739991
113,0.007166469469357943,365017.85234723415,0.09808984
101,0.005018775299874873,228629.16731002665,0.078011364
21,0.008459006857519066,224232.76156284258,0.06332548
4,0.014907347154993733,418662.58150597767,0.045420855
