Optimizador: ADAM
Schedule: Fix
Número de épocas: 50
Fecha y horario de guardado: 2025-05-20_10-57-28
El mínimo valor de la función pérdida (0.017451787367463112) se obtuvo  con batch size = 38, step size = 0.007069293601470731, optimAux = (0.8721262425650733, 0.9759152297356839) y schAux = ().

Rangos de los hiperparámetros:
límite inferior,límite superior
2,200
-3.9999998,-0.99999994
0.85,0.99
0.9,0.9999

Resultados:
batch size,step size,optimAux0,optimAux1,loss
136,0.0010903735905082315,0.9239533754855607,0.9101142282403469,0.032211855
130,0.002085340213036396,0.927313259167038,0.9213007745281447,0.024340691
67,0.0007042725028721742,0.9018474839316408,0.983003083917773,0.027129052
30,0.00014742446834982738,0.920298300874269,0.9894068480873801,0.04627848
158,0.00015886121492782618,0.8705115705863034,0.9875638150487922,0.058850884
80,0.00782367232730492,0.9134498505306253,0.9192741806313132,0.019232625
108,0.001531958658223086,0.9053306351244792,0.9898554185558982,0.024558429
172,0.0014813638898715184,0.9478366967374164,0.9554193701886347,0.031339463
113,0.03361554568650348,0.8958258853416647,0.9054405699907375,0.027337294
7,0.0016959610130641665,0.8801070449260047,0.9935743821668375,0.020325769
160,0.014816169605808192,0.9425134610641874,0.9699543306076417,0.021423673
87,0.0006028504582720958,0.9895423195355011,0.9789639814118047,0.032042578
69,0.0002487698725250054,0.9645266672901082,0.9709170183403002,0.043175086
183,0.06225832638254202,0.9671821060378102,0.9885779374222299,0.035141297
126,0.004472163947346932,0.9753018372584314,0.9106706425964757,0.021282814
170,0.008136638192390477,0.8763476812534143,0.9417949520309677,0.03248297
142,0.0003157407793615005,0.9465031237519405,0.9046456078678647,0.044517033
39,0.005495803634705637,0.9456968215430465,0.9956387210553718,0.019161573
85,0.0060157591632847346,0.9783926171758481,0.9698387388535958,0.018277306
59,0.0005162129183612645,0.9565967525253471,0.9188995432619487,0.03155894
123,0.00768939413756549,0.9495688082439726,0.9974353828575837,0.021039478
60,0.00010153844916507769,0.9231313609288578,0.9219920430758938,0.056558613
155,0.0003101812260716453,0.9050762363767104,0.976777423367011,0.046469864
179,0.07670092286946587,0.9654941354241076,0.93586258111792,0.066023126
5,0.011603420050287444,0.8559108504465542,0.9081794106794895,0.044169787
6,0.0009064039564278375,0.8927875171831976,0.9389331256418839,0.021915825
3,0.00020250971385671188,0.9080948090198331,0.9521183387541478,0.028138906
172,0.00017126486599608102,0.9312315074504233,0.9726690623590564,0.057999235
166,0.004079443913309417,0.8543104047822577,0.9633749102409274,0.026347972
76,0.0016069410568051025,0.973211279521446,0.9022706398932574,0.022449063
44,0.0007605991254863402,0.8674513126880056,0.9261687855697541,0.029103154
21,0.04154136186186532,0.9853438946082849,0.9112053157025225,1.2462735
121,0.005244330062290453,0.9605979418915609,0.9482857091539826,0.019136507
62,0.001747160155019706,0.9827577585773882,0.9272946211461957,0.024200879
199,0.010251731945474385,0.898261747113755,0.9751245494867286,0.018473702
36,0.01542960856420669,0.981821956535395,0.9959638593586451,0.022945648
62,0.0023382954927554833,0.9083466572100678,0.9448946777748806,0.023377782
119,0.012601987173726794,0.8664000886581168,0.9163904545603349,0.03154427
162,0.030218906713681624,0.9543711571318949,0.9951532590922678,0.019424768
197,0.03091876855021451,0.8523476762518983,0.9443833625709653,0.037370637
136,0.050213603573958834,0.8882649326034864,0.931131321514649,0.055113498
82,0.0007755526253054762,0.9002161085911364,0.9018357158629204,0.028204765
100,0.001175583133103896,0.9444923450760998,0.9200791467699674,0.027844077
31,0.00029415330933404467,0.9709689574201992,0.919483163879493,0.03572819
116,0.0030580614037208726,0.8528618395525452,0.9556425348519819,0.024324642
46,0.0009526271544334492,0.9660479332337859,0.9499514317488016,0.027378676
49,0.028877880873233903,0.9801830982013622,0.9738702382527918,0.04081051
193,0.00033588958265237223,0.8971571577098814,0.9622816942867908,0.047692314
34,0.0046942562449411055,0.9295191609131442,0.9836637378511182,0.02161893
151,0.00011480413407525146,0.9391612465596855,0.942446480486018,0.06190152
79,0.006337714212122709,0.9835251041599643,0.9939104558847921,0.021568293
144,0.00028156984891476787,0.918313701755893,0.9973086345458972,0.048230838
51,0.01727465567853407,0.9099700609146326,0.9351658682154629,0.02481755
128,0.017819701501890953,0.874577648883933,0.9289579651860884,0.022836575
30,0.03980755980709715,0.9850520295818483,0.9733035207348422,0.09588822
141,0.03477450999705586,0.8865869788291638,0.9923586831052786,0.023824697
4,0.027061470624055707,0.8833233781077264,0.912829858689861,0.34869936
108,0.02464325107787474,0.9491570528370249,0.9282919923198353,0.02016727
64,0.002817687737941679,0.8678552537119841,0.9564995588680392,0.01954786
196,0.0036397616519200297,0.8895117911782571,0.9043365425069918,0.022072181
137,0.0019180875192595437,0.8758743389225687,0.9150248318424852,0.025006931
117,0.020339091634013463,0.882804662666066,0.967703477297981,0.020931019
165,0.032306752448509876,0.9519731308907271,0.9324758736994148,0.026149057
71,0.003210795013535421,0.9042454800240564,0.9036880892955269,0.03391273
182,0.0005711065413316846,0.8695749118610984,0.9691592243701971,0.045228925
127,0.00025722241376417194,0.9575004808272798,0.9991920637404599,0.049425203
194,0.021966170073069363,0.9423889687384717,0.9573736400264393,0.02549196
159,0.00020769562823011827,0.9861919378024677,0.9746095065380489,0.050882842
97,0.0008067939634224132,0.9700729417712394,0.9924902867496392,0.02934883
150,0.00011593320288035525,0.8877557625269824,0.976967736226435,0.062058456
37,0.04399399161881134,0.8728074822696255,0.9098256324044556,0.076490864
60,0.012536332216531335,0.8641384140185249,0.9741347633453653,0.019534942
93,0.003817814926076445,0.9166310811837352,0.9346843371584804,0.024031185
132,0.022833437428101466,0.9887289212137277,0.92759093769806,0.05354602
